GDP	Exprop	Mort	Latitude	Neo	Africa	Asia	Namer	Samer
8.39	6.5	78.2	0.3111	0	1	0	0	0
7.77	5.36	280	0.1367	0	1	0	0	0
9.13	6.39	68.9	0.3778	0	0	0	0	1
9.9	9.32	8.55	0.3	1	0	0	0	0
9.29	7.5	85	0.2683	0	0	0	1	0
6.88	5.14	71.41	0.2667	0	0	1	0	0
7.93	5.64	71	0.1889	0	0	0	0	1
8.73	7.91	71	0.1111	0	0	0	0	1
6.85	4.45	280	0.1444	0	1	0	0	0
7.5	6.45	280	0.6667	0	1	0	0	0
9.99	9.73	16.1	0.6667	1	0	0	1	0
9.34	7.82	68.9	0.3333	0	0	0	0	1
8.81	7.32	71	0.0444	0	0	0	0	1
7.42	4.68	240	0.0111	0	1	0	0	0
8.79	7.05	78.1	0.1111	0	0	0	1	0
7.44	7	668	0.0889	0	1	0	0	0
8.36	6.18	130	0.2111	0	0	0	1	0
8.47	6.55	71	0.0222	0	0	0	0	1
7.95	6.77	67.8	0.3	0	1	0	0	0
7.95	5	78.1	0.15	0	0	0	1	0
6.11	5.73	26	0.0889	0	1	0	0	0
8.9	7.82	280	0.0111	0	1	0	0	0
7.27	8.27	1470	0.1476	0	1	0	0	0
7.37	6.27	668	0.0889	0	1	0	0	0
8.29	5.14	71	0.17	0	0	0	1	0
7.49	6.55	483	0.1222	0	1	0	0	0
7.9	5.89	32.18	0.0556	0	0	0	0	1
7.15	3.73	130	0.2111	0	0	0	1	0
7.69	5.32	78.1	0.1667	0	0	0	1	0
10.05	8.14	14.9	0.2461	0	0	1	0	0
7.33	8.27	48.63	0.2222	0	0	1	0	0
8.07	7.59	170	0.0556	0	0	1	0	0
8.19	7.09	130	0.2017	0	0	0	1	0
7.06	6.05	145	0.0111	0	1	0	0	0
6.84	4.45	536.04	0.2222	0	1	0	0	0
8.89	7.95	17.7	0.0256	0	0	1	0	0
6.57	4	2940	0.1889	0	1	0	0	0
9.43	7.23	16.3	0.3944	0	0	0	0	0
8.94	7.5	71	0.2556	0	0	0	1	0
8.04	7.09	78.2	0.3556	0	1	0	0	0
9.76	9.73	8.55	0.4556	1	0	0	0	0
7.54	5.23	163.3	0.1444	0	0	0	1	0
6.73	5	400	0.1778	0	1	0	0	0
6.81	5.55	2004	0.1111	0	1	0	0	0
7.35	6.05	36.99	0.3333	0	0	1	0	0
8.84	5.91	163.3	0.1	0	0	0	1	0
8.21	6.95	78.1	0.2556	0	0	0	0	1
8.4	5.77	71	0.1111	0	0	0	0	1
7.4	6	164.66	0.1556	0	1	0	0	0
6.25	5.82	483	0.0922	0	1	0	0	0
10.15	9.32	17.7	0.0136	0	0	1	0	0
8.89	6.86	15.5	0.3222	0	1	0	0	0
7.73	6.05	69.8	0.0778	0	0	1	0	0
7.31	4	88.2	0.1667	0	1	0	0	0
6.25	6.64	145	0.0667	0	1	0	0	0
7.22	6.91	668	0.0889	0	1	0	0	0
8.77	7.45	85	0.1222	0	0	0	1	0
8.48	6.45	63	0.3778	0	1	0	0	0
6.97	4.45	280	0.0111	0	1	0	0	0
9.03	7	71	0.3667	0	0	0	0	1
10.22	10	15	0.4222	1	0	0	1	0
9.07	7.14	78.1	0.0889	0	0	0	0	1
7.28	6.41	140	0.1778	0	0	1	0	0
6.87	3.5	240	0	0	1	0	0	0
